,variable,r_left,r,pvalue
8,meio_transporte ONIBUS 2019,"(0.8000343028016051, 1.1181528624817025e-12)",0.8000343028016051,1.1181528624817025e-12
9,"meio_transporte ONIBUS,CARRO 2019","(0.7186735128717444, 1.9785421500074954e-09)",0.7186735128717444,1.9785421500074954e-09
11,nacionalidade Brasileira 2019,"(0.991618144172852, 4.144327854179269e-46)",0.991618144172852,4.144327854179269e-46
17,grupo_comunitario NAO PARTICIPA 2019,"(0.8831229126684336, 4.646614784863322e-18)",0.8831229126684336,4.646614784863322e-18
21,fezes_urina SISTEMA DE ESGOTO 2019,"(0.9469935799447899, 2.601988878344562e-26)",0.9469935799447899,2.601988878344562e-26
24,destino_lixo COLETADO 2019,"(0.9514133732816062, 3.109527995281479e-27)",0.9514133732816062,3.109527995281479e-27
27,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2019,"(0.9087746939700432, 1.2936991115818072e-20)",0.9087746939700432,1.2936991115818072e-20
31,abastecimento REDE PÚBLICA 2019,"(0.9530788209467533, 1.3259690410817535e-27)",0.9530788209467533,1.3259690410817535e-27
34,tratamento_domicilio CLORACAO 2019,"(0.7886808770523852, 3.847986273519918e-12)",0.7886808770523852,3.847986273519918e-12
35,tratamento_domicilio SEM TRATAMENTO 2019,"(0.8537598113784022, 8.788166428889987e-16)",0.8537598113784022,8.788166428889987e-16
122,sexo M 2019,"(0.8803238722520816, 8.114324763691571e-18)",0.8803238722520816,8.114324763691571e-18
123,sexo F 2019,"(0.8219587976565368, 8.090687261009786e-14)",0.8219587976565368,8.090687261009786e-14
